Workshop,Kategorie,Datum,Land,Location,Pole Studio,URL_E,Art,Level,Beschreibung,Trainer,Uhrzeit,Preis,Einheiten
Pole Dance Anfänger 2 Kurs / Intensivkurs  2 Stunden,Poledance,"Samstag, 22. Februar 2025",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/GAg-lST,Workshop,,"Pole Dance Intensivkurs am Wochenende mit dem Schönheitstanz Wohlfühl – Service Die vollständige Choreo wird in zwei Stunden erlernt und durchgetanzt.  In vier vollen Stunden (einem vollständigen Kurs) lernst Du eine zusammenhängende Choreographie, welche sich aus den unterschiedlichen Elementen des Pole Dance zusammensetzt. Unsere Kursgruppen sind sehr klein (max. sechs Frauen) und wir bieten während der Kurse nicht-alkoholische Getränke sowie, am Ende eines Kurses, Sekt zur Feier des Tages an. Außerdem stellen wir alle wichtigen Hilfsmittel bereit, die Ihr für den Stangenunterricht braucht. Auch für kleine Snacks ist gesorgt. Ihr müsst also nichts mitbringen außer Euch und Eure Pole Dance Kleidung. Pole Dance Anfänger Level – drei Kurse: Die ersten drei Kurse des Pole Dance Anfänger Levels sind dafür vorgesehen, die Tanzstange nicht als ein Hindernis zu betrachten, sondern eher als ein lohnendes Zubehör zum Tanzen. Hier werden die Basics an und mit der Stange eingeübt, wie das elegante Laufen, einfache Figuren, Klettern an der Stange und Drehungen.",,19:45 - 21:45,"ab 45,00 €",1 Einheit
Lap & Strip (all levels)  *Valentine`s Edition,Lapdance,"Samstag, 8. Februar 2025",,"Süderstraße 159A, 20537 Hamburg",Soultide,https://www.eversports.de/e/workshop/e_Wqvfl,Workshop,,"In diesem Workshop verbinden wir einen klassischen Lap Dance mit der Kunst des sinnlichen Ausziehens- Du wolltest immer schon einmal wissen wie man sich kunstvoll entblättert und den Gegenüber völlig um den Verstand bringt? Dann bist du in diesem Workshop genau richtig!  - NICHT NUR um einen Partner zu überraschen - Lap Dance ist wohl die intimste Form des Tease Dances und kostet dich im ersten Moment vielleicht eine große Portion Mut. Eine körperliche (und seelische) Offenbarung, in der nur du bestimmst wie viel - und vor allem was - du der Person auf dem Stuhl von dir preis gibst. Dabei behältst du immer die Kontrolle und kannst entscheiden wie du dich präsentieren möchtest und welche Geschichte du erzählen willst.  Lerne in diesem Workshops die Kunst der Verführung und entdecke deine Sinnlichkeit völlig neu. Dieser Kurs bietet dir einen Safe Space dich in dieser Form des Tease Tanzes, der seine Ursprünge im Striptease hat, auszuprobieren und vielleicht eine ganz neue Leidenschaft zu entdecken- vor allem aber eine große Portion Selbstbewusstsein und Selbstbestimmtheit zu gewinnen.  Wir tanzen im Kurs zu zweit abwechselnd zusammen um die Choreographie aneinander zu üben. Bitte achte besonders auf deine Hygiene und darauf dass du nur gesund zum Kurs erscheinst.  Bitte bring ein Hemd oder eine Bluse, einen Rock oder eine lockere Hose, ein extra BH und einen extra Slip mit.  Für diesen Workshop brauchst du KEINE VORERFAHRUNG!",,15:30 - 17:30,"ab 55,00 €",1 Einheit
Sensual Hoop & Floor,Aerial Hoop,"Samstag, 1. März 2025",,"Süderstraße 159A, 20537 Hamburg",Soultide,https://www.eversports.de/e/workshop/y-9S4w6,Workshop,,"Wenn wir an Aerial Hoop denken, ploppen direkt die weit über dem Boden schwebenden Bilder auf, elegante Posen und intensive Spins. Aber das Spektrum an Bewegungen an, im und mit dem Hoop ist groß! Nahe am Boden können wir die Hoop-Kunst ganz neu interpretieren und den schwebenden Ring als besonderes Element, bzw. als Rahmen in einer sinnlichen Floorwork-Choreo zur Geltung bringen. Es wird sanft fließend und anmutend feminin, während wir auf akrobatisch-tänzerische Weise den bodennahen Hoop zum Tanzpartner machen. Hoop Tricks und Floorwork-Elemente wie Leg Circles und Fankicks schaffen in Kombination vollkommen neue Impulse sinnlicher Bewegungen. Also, nicht verpassen!Packe dir für diesen Workshop in jedem Fall deine Knieschoner ein (du kannst dir auch welche im Studio leihen) und optional gerne deine Heels.",,12:30 - 14:00,"ab 45,00 €",1 Einheit
StripTease | Alle Level,Floorwork,"Sonntag, 9. Februar 2025",,"Bremerhavener Straße 210, 28217 Bremen",Stadtgazellen Bremen,https://www.eversports.de/e/workshop/XzFT5RV,Workshop,,"StripTease Workshop mit Pia-Lena Gazellentines day - Valentines Special! In diesem Workshop erlernt ihr in einer privaten Atmosphäre die hohe Kunst des anmutigen und verführerischen Tanzens. Ihr werdet bei einer Mischung aus ästhetischen Stripteasebewegungen und klassischen Tanzelementen geschult, euch erotisch und gleichzeitig elegant zu bewegen. Keine Angst: Wir ziehen uns nicht wirklich aus! Bringt einfach Unterwäsche mit, die ihr über eure Kleidung anzieht. Alle Level, keine Vorerfahrung nötig! Stornobedingungen: Kostenfreie Stornierung bis max. 10 Tage vor Beginn des Workshops",,12:30 - 14:00,"ab 40,00 €",1 Einheit
Lap Dance | Alle Level,Floorwork,"Sonntag, 9. Februar 2025",,"Bremerhavener Straße 210, 28217 Bremen",Stadtgazellen Bremen,https://www.eversports.de/e/workshop/xVUrVyy,Workshop,,"Lap Dance Workshop mit Pia-Lena  Gazellentines day - Valentines Special! Am 14. Februar ist Valentinstag und du möchtest deinem Schatz etwas Außergewöhnliches schenken? Dann bist du in diesem Workshop genau richtig. Erlerne eine hinreißende Choreografie, die du auf dem Schoß deines/r Partners/in vollführst. Wir erlernen außerdem sexy und elegante Bewegungen um den Stuhl bzw. Partner herum. Du brauchst: Lange bequeme Kleidung und Socken Kommt zu zweit oder allein ! Keine Vorerfahrung nötig!  Stornobedingungen: Kostenfreie Stornierung bis max. 10 Tage vor Beginn",,14:15 - 15:45,"ab 40,00 €",1 Einheit
Pole X Burlesque Art | Alle Level,Poledance,"Sonntag, 9. Februar 2025",,"Bremerhavener Straße 210, 28217 Bremen",Stadtgazellen Bremen,https://www.eversports.de/e/workshop/nYt1aJu,Workshop,,"Pole X Burlesque Art | Workshop mit Jenni Burlesque ist eine Form des Unterhaltungstheaters, bei dem Tanz, Gesang, Show und Striptease im Mittelpunkt stehen - charmant und sexy, mit einem Augenzwinkern, aber nie komplett nackt. Die Ursprünge reichen bis in die 2. Hälfte des 19. Jahrhunderts zurück. Ihre Glanzzeit erlebt die Burlesque in den 1920er, 30er und 40er Jahren. In diesem Workshop erlernst du eine hinreißende Choreografie mit und an der Pole kombiniert mit Tanzelementen aus dem Burlesque. Bitte mitbringen: Bequeme Kleidung und ein Hemd ﻿Vorerfahrungen: Keine. Jede/r ist hier herzlich willkommen! Stornobedingungen: Kostenfreie Stornierung bis max. 10 Tage vor Beginn",,16:00 - 17:30,"ab 40,00 €",1 Einheit
Einsteiger-Workshop,Poledance,"Samstag, 1. Februar 2025",,Einsteiger-Workshop,Star Poledance,https://www.eversports.de/e/workshop/l76HT61,Workshop,,"Nach einem gemütlichen Kennenlernen beginnen wir mit dem Warm-up, gefolgt von einem kleinen Kraft- und Technikteil. Im Anschluss lernst du anhand einer Choreographie deine ersten tänzerischen Grundelemente. Das Ergebnis wird sich garantiert sehen lassen! Nach einem Cool-down hast du die Möglichkeit, dich über unsere Kurse zu informieren und alle Fragen beantwortet zu bekommen, die dir unter den Nägeln brennen :-)",,18:00 - 20:00,"ab 35,00 €",1 Einheit
Lea Roth - Favorite Tricks & Combos,Polesport,"Samstag, 8. März 2025",,"Berliner Straße 52 B, 38104 Braunschweig",T-Tanzstück Braunschweig,https://www.eversports.de/e/workshop/jG-Wwfr,Workshop,,"Favorite Tricks & Combos. Hier zeige ich euch einige meiner Lieblingstricks und Kombinationen sowohl an der Static als auch an der Spinning Pole. Keine Angst es sind nicht nur die schwierigsten Tricks oder Kombis die toll aussehen :-) Ich werde das Level an euch anpassen oder auch auf Wünsche eingehen. T-Tanzstück BRAUNSCHWEIG Samstag, 08.03.2025 13:00 Uhr (90 Min.) Preis:€ 59,00 (TT-Mitglieder), € 64,00 Gäste. Anmeldung per E-Mail an info@t-tanzstueck.de Begrenzte Plätze!",,13:00 - 14:30,"ab 59,00 €",1 Einheit
Sensual Heels Hoop,Aerial Hoop,"Samstag, 12. April 2025",,"Borsigstraße 41, 38446 Wolfsburg",T-Tanzstück Wolfsburg,https://www.eversports.de/e/workshop/fRzoXsO,Workshop,,"In diesem Workshop vereinen wir die Eleganz des Aerial Hoops mit sinnlichen Tanzbewegungen auf High Heels! Du lernst eine einfache, aber wirkungsvolle Choreografie, die du am tiefen Hoop umsetzt und mit Floor Work Elementen kombinierst. Der Fokus liegt auf fließenden, sinnlichen Bewegungen – ideal für alle, die sich auf dem Hoop und in High Heels ausprobieren möchten. Dieser Workshop ist auch für Anfänger geeignet, die Spaß am Tanzen haben.",,12:30 - 14:00,"ab 39,00 €",1 Einheit
Dance&Fitness Day Vol. 2 am 25. Januar 2025,Tanzen,"Samstag, 25. Januar 2025",,"Grünberger Straße 222, 35394 Gießen",TSG Blau-Gold Gießen e.V.,https://www.eversports.de/e/workshop/5pg7lN1,Workshop,,"Wir gehen ins neue Jahr mit dem Dance & Fitness Day Vol. 2. Einem mega Special für euch – so noch nie gesehen und miterlebt. Du erlebst einen fantastischen Abend mit Fitnesskursen, welche auf Tanz ausgerichtet ist. Ein neues Event, neue Angebote, andere Trainer/innen. Erhalte einen „Glow up“ – passend zur Party! 5 Tänzer/ Fitnesstrainer aus Raum Frankfurt, Braunschweig usw. werden richtig Stimmung machen. Dazu wird zwischendurch und hauptsächlich bei der „After Party“ das Licht ausgeschaltet und im Schwarzlicht getanzt. Du hast die Möglichkeit bei dem Event einige „Glow Up“ Artikel zu kaufen. Dazu gibt es noch einige Stände zum Thema: Fashion, Yoga, Jamfya, Beauty und Nutrition. Anschließend gibt es nach dem fitnessreichen Abend eine Afterparty ganz im Motto „2000er Party“.   Erhalte noch mehr Info´s über Instagram: Dance_and_fitness_day Ablaufplan Einlass ab 14:30 Uhr Start geplant: 15 Uhr bis ca. 22 Uhr und After-Party 15:00 – 15:30 Uhr Yoga mit Anna 16:00 – 17:00 Uhr Steptanz mit Rieke 17:15 – 18:00 Uhr Hula Tanz mit Therese 18:10 – 18:40 Uhr Zumba Fitness mit Dana 18:40 – 19:10 Uhr Dance Fitness mit Denise 19:30 – 20:30 Uhr Zouk Ladylike mit Olga 20:40 – 21:10 Uhr Bauchtanz mit Eva 21:15 – 22:00 Uhr Jamfya mit David Ab 22:00 Uhr After Party 2000er Glow Up Preis Jetzt schon einmal anmelden und freuen! Ort Bewegungsraum Sophie-Scholl-Schule, Grünberger Straße 222, 35394 Gießen",,15:00 - 22:00,"ab 20,00 €",1 Einheit
"""Confidance Festival"" am 8. und 9. März 2025",Female Dance,"Beginnt am Samstag, 8. März 2025",,10:00 - 20:00,TSG Blau-Gold Gießen e.V.,https://www.eversports.de/e/workshop/VgUxR8D,Workshop,,"Das Confidance Festival geht am 8.03. & 9.03.2025 in die zweite Runde. Dieses mal mit Tänzer*innen aus Barcelona, Amsterdam, Paderborn, Frankfurt...Macht euch gefasst auf Workshops wie Chairdance, Bachata Styling, Twerk Akrobatik, Hip Hop on Heels, Seduction, Female Fusion, Dancehall und Twerk x Bachata. Don't miss it! Die ersten 30 Blindpasses sind bereits für 100 Euro erhältlich.  Ort: Die Workshops finden im Bewegungsraum der Sophie-Scholl-Schule, Grünberger Straße 222, 35394 Gießen statt. Wir freuen uns auf euch, meldet euch an und lasst euch überraschen.",,"Grünberger Straße 222, 35394 Gießen","ab 100,00 €",2 Einheiten
Lapdance Workshop – Verführe mit Style!,Tanz,"Freitag, 31. Januar 2025",,"Mühlstraße 98, 63741 Aschaffenburg",Vertical - Pole Aerial Dance,https://www.eversports.de/e/workshop/WEe_-Dj,Workshop,,"✨ Lapdance Workshop – Verführe mit Style! ✨ Mach dich bereit für einen sinnlichen Abend voller Eleganz und Selbstbewusstsein! 💃Im Lapdance-Workshop mit @tanzmitkathrin lernst du eine aufregende Choreo, mit der du deinem Herzensmenschen den Atem raubst.Die Choreo kannst du alleine lernen – und wer mag, kann sich vor Ort mit jemandem zusammentun, um die Choreo direkt auszuprobieren.Dresscode:- Dein sexy Lieblingsoutfit- Optional: Morgenmantel oder etwas zum Ausziehen- In Socken, barfuß oder Tanzschläppchen",,18:30 - 20:00,"ab 39,00 €",1 Einheit
Hormonyoga mit Alice,Yoga,"Samstag, 15. Februar 2025",,"Mühlstraße 98, 63741 Aschaffenburg",Vertical - Pole Aerial Dance,https://www.eversports.de/e/workshop/5ebFj0A,Workshop,,"In diesem Hormonyoga-Workshop lernst du verschiedene Techniken, die dich darin unterstützen, deinen Hormonhaushalt in Balance zu bringen. Dies kann vor allem dann nützlich sein, wenn du unter hormonellen Störungen (PMS, unregelmäßiger Zyklus, Regelschmerzen oder Kinderwunsch) leidest. Aber auch sonst fühlst du dich mit einem ausgeglicheneren Hormonhaushalt energiegeladener und jünger, sodass dieser Workshop für alle Frauen geeignet ist.Im Workshop erarbeiten wir die Übungsreihe von Dinah Rodrigues, die auf den folgenden Techniken basiert:- Atmung, - ⁠Energielenkung- ⁠Yoga-Übungen aus dem Hatha- und Kundalini-YogaDiese ist sowohl für Anfänger als auch für Fortgeschrittene geeignet. Die Übungsreihe soll die Hormonproduktion der Hypophyse, der Schilddrüse und vor allem der Eierstöcke anregen und gleichzeitig die Ausschüttung des Stresshormons Cortisol reduzieren. Hormonyoga ist in den folgenden Fällen leider nicht empfehlenswert:- Brustkrebs und hormoninduzierter Krebs- starke ⁠Endometriose- ⁠schwere Herz-Kreislauf-Erkrankungen/Herzprobleme- ⁠starke Osteoporose - ⁠Thrombose- ⁠Schilddrüsenüberfunktion- ⁠Schwangerschaft- ⁠behandlungsbedürftige Depressionen",,10:00 - 14:00,"ab 80,00 €",1 Einheit
Stripped,Tanz,"Freitag, 14. März 2025",,"Mühlstraße 98, 63741 Aschaffenburg",Vertical - Pole Aerial Dance,https://www.eversports.de/e/workshop/RAT28hF,Workshop,,"Egal, ob du deine:n Liebste:n überraschen oder eine neue Seite an dir entdecken möchtest - in unserem Stripped Workshop lernst du, mit Hilfe einer kleinen Choreographie an der Pole elegant und sinnlich die Hüllen fallen zu lassen. Hinweise zum Outfit schicken wir dir rechtzeitig zu, du musst aber auf keinen Fall Angst haben, dich bei uns komplett ausziehen zu müssen :) 2 Personen pro Pole.",,18:00 - 19:30,"ab 39,00 €",1 Einheit
STRAPATEN mit Ronja Siewert,Aerial Akrobatik,"Samstag, 15. März 2025",,"Mühlstraße 98, 63741 Aschaffenburg",Vertical - Pole Aerial Dance,https://www.eversports.de/e/workshop/A2Lrp_w,Workshop,,"Dieser Workshop richtet sich an Anfänger*innen, Fortgeschrittene und Profis, die an der luftakrobatischen Disziplin Strapaten interessiert sind. In diesem 3-stündigen Workshop werden wir uns mit den Grundlagen beschäftigen und uns intensiv mit den Strapaten vertraut machen, sowohl was Grundtechniken im Hängen, Stützen und Drehen angeht, je nach Erfahrung und Wunsch auch schon einarmige. Zu Beginn des Workshops wärmen wir uns gemeinsam auf. Eigene Strapaten dürfen und sollen gerne mitgebracht werden! Nicht geeignet ist der Workshop für Menschen mit akuten Schulter-Verletzungen und Hochschwangere. Die Anzahl der Teilnehmenden wird durch die Anzahl der Strapaten-Paare und Aufhängungen begrenzt. Schreib uns bitte, wenn du eigene Strapaten mitbringen magst. 3-4 Personen pro Strapaten. Mitzubringen: Workshop-Dozentin:Ronja Siewert ist studierte Zirkusartistin und Riggerin. Angefangen hat ihre Leidenschaft zum Zirkus in frühen Jahren im Kinder- und Jugendzirkus. Nachdem sie alle zu der Zeit verfügbaren zirkuspädagogischen Fortbildungen absolviert hatte, arbeitete sie jahrelang als Dozentin bevor sie an die Zirkusschule Coarts in Rotterdam ging und sich als Artistin auf die Disziplinen Strapaten und Keulen-Passing spezialisierte.Inzwischen bewegt sie sich fließend zwischen der auftretenden und der vermittelnden Seite des Zirkus und freut sich über alle Interessierten denen sie begegnet. Für mehr Informationen: www.ronjasiewert.com",,16:00 - 19:00,Ausgebucht,1 Einheit
Lapdance,Poledance,"Samstag, 8. Februar 2025",,Einzelticket,Vertical - Pole Aerial Dance,https://www.eversports.de/e/workshop/WUFvc2B,Workshop,,"Ladies only! In unserem Lapdance-Workshop lernst du, dich und deinen Körper perfekt in Szene zu setzen und deinem oder deiner Liebsten den Kopf zu verdrehen. Wähle ein Outfit, dass dir Bewegungsfreiheit lässt - ob sexy in Dessous oder bequem in Leggings & Top ist dir überlassen. High Heels sind herzlich Willkommen.",,16:00 - 17:30,"ab 39,00 €",1 Einheit
Stripped,Poledance,"Samstag, 8. Februar 2025",,Einzelticket,Vertical - Pole Aerial Dance,https://www.eversports.de/e/workshop/ZpF1SeV,Workshop,,"ohne Pole / alle LevelEgal, ob du deine:n Liebste:n überraschen oder eine neue Seite an dir entdecken möchtest - in unserem Stripped Workshop lernst du mit Hilfe einer kleinen Choreographie elegant und sinnlich die Hüllen fallen zu lassen. Hinweise zum Outfit schicken wir dir rechtzeitig zu, du musst aber auf keinen Fall Angst haben, dich bei uns komplett ausziehen zu müssen :)",,18:00 - 19:30,Ausgebucht,1 Einheit
Unlocking: Rivers of Energy mit Martina und Jenni,EVENTS,"Sonntag, 23. Februar 2025",,"Böttgerstraße 16, 13357 Berlin",YOGA at Lobe Block,https://www.eversports.de/e/workshop/0HfcOho,Workshop,,"Unlocking: Rivers of Energy Finde einen nachhaltigen Umgang mit deiner Lebensenergie. Das harmonische Fließen der Lebensenergie ist Gegenstand verschiedener yogischer Traditionen sowie fernöstlicher Gesundheitstraditionen. Erfahrbare Lebensenergie sowie ein verständnisförderndes Wissen zu Traditionellen Chinesischen Medizin und deren praktische Anwendung in Verbindung mit Yin Yoga und Shiatsu-Techniken stehen im Zentrum dieses Workshops. Wir widmen uns daher den Nieren- und Blasenmeridianen, da diese Energieleitbahnen eine zentrale Rolle spielen, um ein energetisches Gleichgewicht herzustellen, das sowohl körperlich als auch emotional erfahrbar ist. Das theoretische Wissen über die Meridiane wird durch eine sanfte Yin Yoga Session mit Martina ergänzt. So wirst du nicht nur intellektuell lernen, sondern auch durch deinen gesamten Körper eine Verbindung zu deiner inneren Welt herstellen. Jenni wird dir die Verläufe der Meridiane und deren Ausdrucksformen näher bringen und dich anleiten, deinen persönlichen Zugang zu deinen energetischen Räumen zu entdecken. Zum Abschluss lernst du Berührungstechniken des Shiatsu, die wir in Partnerübungen erlernen werden, sodass du deine Wahrnehmung der energetischen Qualitäten schulst und du die Wirksamkeit von Shiatsu am eigenen Körper erfahren kannst. Du brauchst für diesen Kurs keine Vorkenntnisse, wir praktizieren gemeinsam im Anfängergeist, alle Körper sind willkommen.  Bitte beachte: Die Berührungstechniken des Shiatsu werden wir am bekleideten Körper in Partnerarbeit erlernen Preis: 39 € Early Bird",,14:00 - 16:30,"ab 39,00 €",1 Einheit
Yoga Beat Fusion Fundamentals Workshops & Seminar mit Barbara,EVENTS,"Beginnt am Samstag, 15. März 2025",,"Workshop Yoga Beat Fusion, 10—13 Uhr Samstag",YOGA at Lobe Block,https://www.eversports.de/e/workshop/EUTE4VU,Workshop,,"Yoga Beat Fusion Fundamentals Workshops & Seminar Hier dreht sich alles um das Zusammenspiel von Yoga Choreografien und Musik. Am Samstag fokussierst du dich auf deine eigene physische Praxis im Rhythmus der Musik. Du lernst, was es mit den typisch yogisch-tänzerischen Bewegungsabläufen auf sich hat. Technische Feinheiten in deinen Alignments und Transitions lassen dich tiefer in deinen Flow-State eintauchen. Beide Workshops an diesem ersten Tag sind interessant für dich, wenn du bereits Yogalehrer*in bist oder deine eigene Praxis vertiefen möchtest. Am Sonntag erlernst du die Grundprinzipien des Unterrichtens on Beat und wie du dieses Wissen in deinen Yogaunterricht integrieren kannst. Die Basis hierfür bilden die Sequenzen und Choreografien vom Vortag. Dieser zweite Tag richtet sich an Lehrer*innen aller Yogastile, die tiefer in Yoga im Rhythmus der Musik eintauchen möchten, um ihrem Unterricht ein schönes Extra zu verleihen. Sa, 15. März 2025, 6 h FLOWING on Beat Fundamentals Workshop Yoga Beat Fusion, 10—13 Uhr Mit Hilfe von technischen Feinheiten bringst du Leichtigkeit in deinen Vinyasa-Flow. In diesem dreistündigen Workshop erlernst du das Alignment von zwei Asana Sequenzen und wie du dabei Beats, Bewegung und Atmung in Einklang bringst. Durch Verweilen in einzelnen Haltungen sowie dem Üben von kontrollierten Bewegungen in den Übergängen zwischen den Asanas verändert sich dein Gefühl für Körperkoordination.  Workshop Flow on Beat, 14.30—17.30 Uhr Tauche tiefer in deinen Flow State! In diesem dreistündigen Workshop erlernst du zwei Flow on Beat Choreografien, die jeweils auf einen ganz bestimmten Song komponiert sind. Du bewegst dich dabei mit jeder Atembewegung von einer Yoga Asana in die nächste — geführt vom Rhythmus der Musik. Typisch hierbei ist die yogisch-tänzerische Form der Bewegungen.  So, 16. März 2025, 8 h TEACHING on Beat Fundamentals Seminar, 9—13 & 14.15—18.15 Uhr Auf Basis der Flows vom Vortag erlernst du die Prinzipien des Zusammenspiels von Yoga Sequenzen und Musik zu unterrichten. Worin liegen die Unterschiede zum Unterrichten eines traditionellen Vinyasa Flows? Welche Musik eignet sich gut für eine rhythmusbasierte Klasse, welche weniger? Wie lassen sich Songs analysieren? Warum ist eine gut strukturierte Playlist sinnvoll? Dieses Wissen kannst du in deinen Unterricht integrieren, um deine Schüler*innen noch tiefer in den Fokus zu bringen. Preis:  Samstag: je Workshop 48 € — beide Workshops 90 € Sonntag: 160 € Dozentin:  Barbara Pascaly, Insta: barbara.pascaly, www.pascaly.de 16. & 17. März 2025, Uhrzeiten s. o.Booking, Fragen & weitere Informationen:  yogaatlobeblock.de barbara@pascaly.de",,"Böttgerstraße 16, 13357 Berlin","ab 48,00 €",2 Einheiten
Aerial Yoga | 120 min Yoga im Tuch,Aerial Yoga,"Freitag, 31. Januar 2025",,"Pfefferackerstraße 2a, 45894 Gelsenkirchen",aerialflow,https://www.eversports.de/e/workshop/NG_xskE,Workshop,,"Aerial Yoga kombiniert Elemente aus der Luftartistik mit klassischen Yoga-Haltungen, die hängend in einem seidig weichem Tuch ausgeführt werden. Das Tuch wirkt dabei unterstützend, mindert den Druck auf die Bandscheiben und entlastet so die Wirbelsäule. Sonst körperlich schwere Umkehrhaltungen können beim Aerial Yoga mit Leichtigkeit ausgeführt werden. Zudem dient das Tuch als Kräftigungswerkzeug - wie man es aus aus Schlingentrainings (z.B. TRX) kennt - und das Schwingen, Schaukeln und Drehen stimuliert nicht nur das vestibuläre System (Gleichgewichtssinn), es macht auch einfach Spaß. Über Stefanie... “Do not fear failure but rather fear not trying.” ― Roy T. Bennett ""Wie das echte Leben kann uns (Aerial) Yoga manchmal herausfordern! Seit 2014 unterrichte ich regelmäßig Aerial Yoga Kurse und Workshops. Ich habe schon hunderte Menschen dabei begleitet, ihre Ängste vor dem Loslassen und auch vor dem Sich-Fallenlassen zu überwinden. Umkehrhaltungen wie Schulter- oder Handstand bergen auf der Matte ihre ganz eigenen Hürden, die ich mit Hilfe des Tuches und einer klaren Anleitung sicher erlebbar mache. Mein Fokus einer Yogastunde liegt auf einer gesunden und sicheren Ausrichtung und darauf, die Balance zwischen Anspannung, Entspannung und einer guten Portion Humor zu finden. Manchmal überschreiten wir gemeinsam (vermeintliche) Grenzen, um anschließend mit einem strahlenden Lächeln und bestenfalls auch emotional gestärkt und genährt aus dem Tuch zu steigen. Manchmal werden wir still und lassen uns einfach sein, um danach beseelt und ruhig wieder in unseren Alltag einzusteigen.""",,18:00 - 20:00,Ausgebucht,1 Einheit
Twerk by Debby | 90 min Choreografie,Tanzen,"Samstag, 22. Februar 2025",,"Pfefferackerstraße 2a, 45894 Gelsenkirchen",aerialflow,https://www.eversports.de/e/workshop/MdFtKgS,Workshop,,"Du möchtest Twerking lernen? Dann ist unser 90-Minuten-Workshop genau das Richtige für dich! Egal ob Anfänger oder Fortgeschrittene – bei uns sind alle willkommen! Freu dich auf eine energiegeladene Session, in der du die Grundlagen des Twerking erlernst und am Ende eine komplette Choreo tanzen kannst. Mach mit und entdecke, wie viel Spaß Twerking macht! Benötigt werden eine locker sitzende Hose, Knieschoner und saubere Hallenschuhe.",,12:00 - 13:30,Ausgebucht,1 Einheit
Twerk by Debby | 90 min Choreografie,Tanzen,"Samstag, 22. Februar 2025",,"Pfefferackerstraße 2a, 45894 Gelsenkirchen",aerialflow,https://www.eversports.de/e/workshop/NXmO-yd,Workshop,,"Du möchtest Twerking lernen? Dann ist unser 90-Minuten-Workshop genau das Richtige für dich! Egal ob Anfänger oder Fortgeschrittene – bei uns sind alle willkommen! Freu dich auf eine energiegeladene Session, in der du die Grundlagen des Twerking erlernst und am Ende eine komplette Choreo tanzen kannst. Mach mit und entdecke, wie viel Spaß Twerking macht! Benötigt werden eine locker sitzende Hose, Knieschoner und saubere Hallenschuhe.",,14:00 - 15:30,"ab 45,00 €",1 Einheit
Handstände meistern | 120 min an der Pole & frei,Polesport,"Sonntag, 2. März 2025",,"Pfefferackerstraße 2a, 45894 Gelsenkirchen",aerialflow,https://www.eversports.de/e/workshop/uDBA7GN,Workshop,,"Hast du Lust, die Welt aus einer anderen Perspektive zu sehen? Dieser Workshop dreht sich um die Grundlagen des Überkopf-Stehens und du lernst Schritt für Schritt, wie du sicher und mit Spaß deine ersten Handstände an der Pole meisterst – und das ganz ohne Vorkenntnisse.  Was dich erwartet:  Entscheidend für einen stabilen Handstand ist eine starke Basis. Deswegen starten wir mit einfachen Übungen zur Aktivierung und Kräftigung deiner Körpermitte. Anschließend folgen die ersten Schritte kopfüber. Kopf- und Unterarmstände helfen dir, deine Balance zu finden und Vertrauen in deinen Körper aufzubauen. Sobald du die Basics beherrschst, erkunden wir verschiedene Handstandvariationen an der Pole. Hier bekommst du die Möglichkeit, mit Unterstützung der Pole neue Positionen auszuprobieren und deine Technik zu verbessern. Der Workshop ist speziell für Anfänger*innen konzipiert – egal, ob du schon Pole-Dance-Erfahrung hast oder nicht. Alles, was du brauchst, ist Neugier und die Freude daran, Neues auszuprobieren.",,12:00 - 14:00,"ab 49,00 €",1 Einheit
Pole Double Trouble | 120 min für Anfängerinnen,Poledance,"Sonntag, 30. März 2025",,"Pfefferackerstraße 2a, 45894 Gelsenkirchen",aerialflow,https://www.eversports.de/e/workshop/77frQon,Workshop,,"In unserem Pole Double Trouble Workshop zeigen wir dir wunderschöne Tricks und Posen zu zweit an der Pole (Stange). Dabei ist es egal, ob du mit deiner/m BFF oder allein erscheinst - jede/r erhält die Chance, perfekte Schnappschüsse von sich mit Gleichgesinnten zur Erinnerung zu machen. Geeignet für Pole-Begeisterte ab Level 1. Ab Level 3 ist auch der Workshop für Fortgeschrittene möglich.",,12:00 - 14:00,"ab 49,00 €",1 Einheit
Pole Double Trouble | 120 min für Fortgeschrittene,Poledance,"Sonntag, 30. März 2025",,"Pfefferackerstraße 2a, 45894 Gelsenkirchen",aerialflow,https://www.eversports.de/e/workshop/fgBex6G,Workshop,,"In unserem Pole Double Trouble Workshop zeigen wir dir wunderschöne Tricks und Posen zu zweit an der Pole (Stange). Dabei ist es egal, ob du mit deiner/m BFF oder allein erscheinst - jede/r erhält die Chance, perfekte Schnappschüsse von sich mit Gleichgesinnten zur Erinnerung zu machen. Geeignet für Pole-Begeisterte ab Level 3.",,14:30 - 16:30,"ab 49,00 €",1 Einheit
